Year-month, Temperature
1998-01-01,28.74
1998-02-01,28.9
1998-03-01,29.12
1998-04-01,29.22
1998-05-01,28.64
1998-06-01,26.99
1998-07-01,25.42
1998-08-01,24.45
1998-09-01,23.95
1998-10-01,23.99
1998-11-01,24.24
1998-12-01,24.13
1999-01-01,24.41
1999-02-01,25.52
1999-03-01,26.68
1999-04-01,26.71
1999-05-01,26.45
1999-06-01,25.72
1999-07-01,25.05
1999-08-01,24.28
1999-09-01,23.79
1999-10-01,23.6
1999-11-01,23.6
1999-12-01,23.68
2000-01-01,24.0
2000-02-01,25.27
2000-03-01,26.7
2000-04-01,27.41
2000-05-01,26.88
2000-06-01,26.03
2000-07-01,25.18
2000-08-01,24.64
2000-09-01,24.59
2000-10-01,24.48
2000-11-01,24.4
2000-12-01,24.57
2001-01-01,25.24
2001-02-01,26.12
2001-03-01,27.2
2001-04-01,27.46
2001-05-01,27.11
2001-06-01,26.34
2001-07-01,25.53
2001-08-01,24.9
2001-09-01,24.31
2001-10-01,24.55
2001-11-01,24.42
2001-12-01,24.61
2002-01-01,25.17
2002-02-01,26.16
2002-03-01,27.35
2002-04-01,27.58
2002-05-01,27.51
2002-06-01,27.19
2002-07-01,26.19
2002-08-01,25.63
2002-09-01,25.76
2002-10-01,25.97
2002-11-01,26.4
2002-12-01,26.44
2003-01-01,26.23
2003-02-01,26.84
2003-03-01,27.39
2003-04-01,27.14
2003-05-01,26.29
2003-06-01,26.03
2003-07-01,25.92
2003-08-01,25.38
2003-09-01,25.05
2003-10-01,25.38
2003-11-01,25.75
2003-12-01,26.0
2004-01-01,26.08
2004-02-01,26.7
2004-03-01,27.34
2004-04-01,27.52
2004-05-01,26.8
2004-06-01,26.35
2004-07-01,25.78
2004-08-01,25.36
2004-09-01,25.35
2004-10-01,25.52
2004-11-01,25.73
2004-12-01,25.91
2005-01-01,25.98
2005-02-01,26.31
2005-03-01,27.14
2005-04-01,27.53
2005-05-01,27.41
2005-06-01,26.68
2005-07-01,25.91
2005-08-01,25.3
2005-09-01,24.82
2005-10-01,24.64
2005-11-01,23.97
2005-12-01,24.0
2006-01-01,24.85
2006-02-01,26.06
2006-03-01,26.65
2006-04-01,27.16
2006-05-01,27.17
2006-06-01,26.61
2006-07-01,25.82
2006-08-01,25.51
2006-09-01,25.73
2006-10-01,25.86
2006-11-01,26.1
2006-12-01,26.37
2007-01-01,26.53
2007-02-01,26.49
2007-03-01,26.8
2007-04-01,26.95
2007-05-01,26.37
2007-06-01,25.9
2007-07-01,24.85
2007-08-01,23.94
2007-09-01,23.63
2007-10-01,23.55
2007-11-01,23.48
2007-12-01,23.57
2008-01-01,24.19
2008-02-01,25.16
2008-03-01,26.45
2008-04-01,27.12
2008-05-01,27.0
2008-06-01,26.46
2008-07-01,26.08
2008-08-01,25.62
2008-09-01,25.2
2008-10-01,25.07
2008-11-01,24.98
2008-12-01,24.66
2009-01-01,25.15
2009-02-01,25.84
2009-03-01,26.49
2009-04-01,27.41
2009-05-01,27.54
2009-06-01,27.18
2009-07-01,26.49
2009-08-01,25.92
2009-09-01,25.69
2009-10-01,25.76
2009-11-01,26.18
2009-12-01,26.55
2010-01-01,26.73
2010-02-01,27.28
2010-03-01,27.76
2010-04-01,27.85
2010-05-01,27.08
2010-06-01,25.91
2010-07-01,24.79
2010-08-01,23.97
2010-09-01,23.61
2010-10-01,23.5
2010-11-01,23.59
2010-12-01,23.73
2011-01-01,24.4
2011-02-01,25.63
2011-03-01,26.47
2011-04-01,27.25
2011-05-01,26.96
2011-06-01,26.5
2011-07-01,25.61
2011-08-01,24.73
2011-09-01,24.29
2011-10-01,23.92
2011-11-01,23.98
2011-12-01,24.31
2012-01-01,25.09
2012-02-01,26.22
2012-03-01,27.02
2012-04-01,27.56
2012-05-01,27.34
2012-06-01,27.05
2012-07-01,26.37
2012-08-01,25.64
2012-09-01,25.24
2012-10-01,25.0
2012-11-01,25.08
2012-12-01,24.8
2013-01-01,25.0
2013-02-01,25.84
2013-03-01,27.08
2013-04-01,27.22
2013-05-01,26.43
2013-06-01,25.73
2013-07-01,25.1
2013-08-01,24.47
2013-09-01,24.58
2013-10-01,24.79
2013-11-01,24.9
2013-12-01,25.09
2014-01-01,25.23
2014-02-01,25.62
2014-03-01,26.89
2014-04-01,27.64
2014-05-01,27.64
2014-06-01,27.15
2014-07-01,26.12
